score,at,content,tokens,tokens_nostop,stemmed,final_text,sentiment_label,sentiment_score
1,2025 08 24 19 54 16,baru dikasih bintang sekarang aneh aneh aj ada instan tapi dipesan jadi reguler cs malah nyalahkan seller saya kasih bukti capture instan cod tapi reguler katanya pesanan saya reguler cod gmn ini rugi waktu rugi jika barangnya nanti busuk dijalan parah cs shopee padahal platinum dan vip gmn yg lain,"['baru', 'dikasih', 'bintang', 'sekarang', 'aneh', 'aneh', 'aj', 'ada', 'instan', 'tapi', 'dipesan', 'jadi', 'reguler', 'cs', 'malah', 'nyalahkan', 'seller', 'saya', 'kasih', 'bukti', 'capture', 'instan', 'cod', 'tapi', 'reguler', 'katanya', 'pesanan', 'saya', 'reguler', 'cod', 'gmn', 'ini', 'rugi', 'waktu', 'rugi', 'jika', 'barangnya', 'nanti', 'busuk', 'dijalan', 'parah', 'cs', 'shopee', 'padahal', 'platinum', 'dan', 'vip', 'gmn', 'yg', 'lain']","['dikasih', 'bintang', 'dipesan', 'nyalahkan', 'barangnya', 'dijalan', 'platinum', 'vip']","['kasih', 'bintang', 'pes', 'nyalahkan', 'barang', 'jalan', 'platinum', 'vip']",kasih bintang pes nyalahkan barang jalan platinum vip,neutral,0.9451683163642883
5,2025 08 24 15 59 23,kenapa fitur cod kok gk ada,"['kenapa', 'fitur', 'cod', 'kok', 'gk', 'ada']",[],[],,ERROR,0.0
1,2025 08 24 15 58 57,kecewa ga bisa cod,"['kecewa', 'ga', 'bisa', 'cod']",[],[],,ERROR,0.0
5,2025 08 24 15 41 53,ongkir mahal barang lama kenapa shopee tidak jual senapan angin gejluk semua produk harus bisa cod bayar di tempat makasih produk harus sesuai gambar shopee dagang tidak sesuai gambar blokir kecewa pembeli elektronik harus berfungsi,"['ongkir', 'mahal', 'barang', 'lama', 'kenapa', 'shopee', 'tidak', 'jual', 'senapan', 'angin', 'gejluk', 'semua', 'produk', 'harus', 'bisa', 'cod', 'bayar', 'di', 'tempat', 'makasih', 'produk', 'harus', 'sesuai', 'gambar', 'shopee', 'dagang', 'tidak', 'sesuai', 'gambar', 'blokir', 'kecewa', 'pembeli', 'elektronik', 'harus', 'berfungsi']","['senapan', 'angin', 'gejluk', 'blokir', 'berfungsi']","['senapan', 'angin', 'gejluk', 'blokir', 'fungsi']",senapan angin gejluk blokir fungsi,neutral,0.9982438087463379
1,2025 08 24 10 36 03,sebagai pelanggan yg aktif saya kecewa krn pembekuan pembelanjaan cod,"['sebagai', 'pelanggan', 'yg', 'aktif', 'saya', 'kecewa', 'krn', 'pembekuan', 'pembelanjaan', 'cod']","['pelanggan', 'pembekuan', 'pembelanjaan']","['langgan', 'beku', 'belanja']",langgan beku belanja,negative,0.6546944379806519
5,2025 08 24 10 08 02,sangat terpercaya dalam cod,"['sangat', 'terpercaya', 'dalam', 'cod']",['terpercaya'],['percaya'],percaya,positive,0.9986400008201599
5,2025 08 24 05 08 54,bagus dan sangat membantu dalam brbelanja online tpi ko skarng gk bisah cod lgi y,"['bagus', 'dan', 'sangat', 'membantu', 'dalam', 'brbelanja', 'online', 'tpi', 'ko', 'skarng', 'gk', 'bisah', 'cod', 'lgi', 'y']","['membantu', 'bisah']","['bantu', 'bisah']",bantu bisah,negative,0.9635928869247437
5,2025 08 24 00 35 34,alhamdulillah masih oke selalu cod,"['alhamdulillah', 'masih', 'oke', 'selalu', 'cod']",[],[],,ERROR,0.0
5,2025 08 23 22 51 16,senang kalau pesan belanja di shopee pesanan cepat sampai dan bisa cod cek dulu jadi gak membeli kucing dalam karung,"['senang', 'kalau', 'pesan', 'belanja', 'di', 'shopee', 'pesanan', 'cepat', 'sampai', 'dan', 'bisa', 'cod', 'cek', 'dulu', 'jadi', 'gak', 'membeli', 'kucing', 'dalam', 'karung']","['belanja', 'membeli', 'kucing', 'karung']","['belanja', 'beli', 'kucing', 'karung']",belanja beli kucing karung,neutral,0.39583081007003784
5,2025 08 23 20 39 32,saya cuma mau ngasih kata kata buat orang yang suka ga mau bayar kalo barang udah sampe alasan ga sesuai eh itu kurir kerjaan nganter bukan jualan kalo lu ga mau bayar sama aja lu merugikan orang secara waktu sama biaya brani mesan berani tanggung jawap dan kalo bisa ga usah cod kalo gitu,"['saya', 'cuma', 'mau', 'ngasih', 'kata', 'kata', 'buat', 'orang', 'yang', 'suka', 'ga', 'mau', 'bayar', 'kalo', 'barang', 'udah', 'sampe', 'alasan', 'ga', 'sesuai', 'eh', 'itu', 'kurir', 'kerjaan', 'nganter', 'bukan', 'jualan', 'kalo', 'lu', 'ga', 'mau', 'bayar', 'sama', 'aja', 'lu', 'merugikan', 'orang', 'secara', 'waktu', 'sama', 'biaya', 'brani', 'mesan', 'berani', 'tanggung', 'jawap', 'dan', 'kalo', 'bisa', 'ga', 'usah', 'cod', 'kalo', 'gitu']","['alasan', 'kerjaan', 'jualan', 'merugikan', 'biaya', 'berani', 'jawap']","['alas', 'kerja', 'jual', 'rugi', 'biaya', 'berani', 'jawap']",alas kerja jual rugi biaya berani jawap,negative,0.8187063932418823
1,2025 08 23 20 10 20,tanpa alasan jelas telah membanned nopeku tidak bisa cod ndk jelas,"['tanpa', 'alasan', 'jelas', 'telah', 'membanned', 'nopeku', 'tidak', 'bisa', 'cod', 'ndk', 'jelas']","['alasan', 'membanned', 'nopeku']","['alas', 'membanned', 'nopeku']",alas membanned nopeku,negative,0.998989999294281
5,2025 08 23 19 02 21,barang di shopee murah lengkap di tambah bisa cod terimakasih shopee,"['barang', 'di', 'shopee', 'murah', 'lengkap', 'di', 'tambah', 'bisa', 'cod', 'terimakasih', 'shopee']",[],[],,ERROR,0.0
5,2025 08 23 16 34 51,shopee keren cod cek dulu,"['shopee', 'keren', 'cod', 'cek', 'dulu']",[],[],,ERROR,0.0
5,2025 08 23 14 52 51,mudah untuk belanja dan gratis ongkir dan juga bisa cod intinya kumplit,"['mudah', 'untuk', 'belanja', 'dan', 'gratis', 'ongkir', 'dan', 'juga', 'bisa', 'cod', 'intinya', 'kumplit']","['belanja', 'intinya', 'kumplit']","['belanja', 'inti', 'kumplit']",belanja inti kumplit,positive,0.9977321624755859
5,2025 08 23 14 30 55,slalu puas blanja dishopee cod,"['slalu', 'puas', 'blanja', 'dishopee', 'cod']",[],[],,ERROR,0.0
5,2025 08 23 13 21 00,shopee sya kok ga bisa cod sii kk pd hal sya mau beli barang di shopee,"['shopee', 'sya', 'kok', 'ga', 'bisa', 'cod', 'sii', 'kk', 'pd', 'hal', 'sya', 'mau', 'beli', 'barang', 'di', 'shopee']",[],[],,ERROR,0.0
5,2025 08 23 10 57 35,aplikasi yang sangat berguna banget tapi hati hati takut kena tipu tapi untung ada cod cek dulu pas pokoknya mah,"['aplikasi', 'yang', 'sangat', 'berguna', 'banget', 'tapi', 'hati', 'hati', 'takut', 'kena', 'tipu', 'tapi', 'untung', 'ada', 'cod', 'cek', 'dulu', 'pas', 'pokoknya', 'mah']","['berguna', 'pokoknya']","['guna', 'pokok']",guna pokok,positive,0.9801534414291382
4,2025 08 23 10 42 06,untuk kurir non cod kadang kita tidak bisa kasih nilai padahal sering paket kiriman cuma diturunkan ditempat lain informasi gagal kirim juga bisa dimanipulasi oleh kurir dibilang penerima tidak ada ditempat padahal kurir yg membatalkan,"['untuk', 'kurir', 'non', 'cod', 'kadang', 'kita', 'tidak', 'bisa', 'kasih', 'nilai', 'padahal', 'sering', 'paket', 'kiriman', 'cuma', 'diturunkan', 'ditempat', 'lain', 'informasi', 'gagal', 'kirim', 'juga', 'bisa', 'dimanipulasi', 'oleh', 'kurir', 'dibilang', 'penerima', 'tidak', 'ada', 'ditempat', 'padahal', 'kurir', 'yg', 'membatalkan']","['kiriman', 'diturunkan', 'ditempat', 'informasi', 'dimanipulasi', 'dibilang', 'penerima', 'ditempat', 'membatalkan']","['kirim', 'turun', 'tempat', 'informasi', 'manipulasi', 'bilang', 'terima', 'tempat', 'batal']",kirim turun tempat informasi manipulasi bilang terima tempat batal,neutral,0.998389720916748
5,2025 08 23 09 59 13,mantap shopee pertahankan shope cod cek dulu jd gk pernah ragu lagi belanja di sini the best lh,"['mantap', 'shopee', 'pertahankan', 'shope', 'cod', 'cek', 'dulu', 'jd', 'gk', 'pernah', 'ragu', 'lagi', 'belanja', 'di', 'sini', 'the', 'best', 'lh']","['pertahankan', 'belanja']","['tahan', 'belanja']",tahan belanja,negative,0.95321124792099
1,2025 08 23 09 40 40,terima kasih kepada aplikasi shopee atas pelayanan prima tapi mohon maaf saya kasih bintang satu alasan layanan cod malah ditolak akses hanya dikarenakan pengiriman gagal sebelumnya tolong perbaiki layanan cod bisa ditingkatkan lagi meskipun pengiriman gagal sebelumnya saat update terbaru dari aplikasi shopee ke depannya,"['terima', 'kasih', 'kepada', 'aplikasi', 'shopee', 'atas', 'pelayanan', 'prima', 'tapi', 'mohon', 'maaf', 'saya', 'kasih', 'bintang', 'satu', 'alasan', 'layanan', 'cod', 'malah', 'ditolak', 'akses', 'hanya', 'dikarenakan', 'pengiriman', 'gagal', 'sebelumnya', 'tolong', 'perbaiki', 'layanan', 'cod', 'bisa', 'ditingkatkan', 'lagi', 'meskipun', 'pengiriman', 'gagal', 'sebelumnya', 'saat', 'update', 'terbaru', 'dari', 'aplikasi', 'shopee', 'ke', 'depannya']","['pelayanan', 'prima', 'bintang', 'alasan', 'ditolak', 'akses', 'ditingkatkan', 'terbaru', 'depannya']","['layan', 'prima', 'bintang', 'alas', 'tolak', 'akses', 'tingkat', 'baru', 'depan']",layan prima bintang alas tolak akses tingkat baru depan,neutral,0.996196985244751
5,2025 08 23 07 05 31,nikmati pengalaman belanja dengan cod,"['nikmati', 'pengalaman', 'belanja', 'dengan', 'cod']","['nikmati', 'pengalaman', 'belanja']","['nikmat', 'alam', 'belanja']",nikmat alam belanja,positive,0.9987770915031433
5,2025 08 22 23 50 58,maaf min tapi kenapa ya abis pesen barang tapi kan gk diambil jadi gk bisa cod,"['maaf', 'min', 'tapi', 'kenapa', 'ya', 'abis', 'pesen', 'barang', 'tapi', 'kan', 'gk', 'diambil', 'jadi', 'gk', 'bisa', 'cod']","['pesen', 'diambil']","['sen', 'ambil']",sen ambil,neutral,0.5293294191360474
1,2025 08 22 21 05 20,sangat tidak puas layanan cod gk bisah,"['sangat', 'tidak', 'puas', 'layanan', 'cod', 'gk', 'bisah']",['bisah'],['bisah'],bisah,negative,0.7979177832603455
3,2025 08 22 19 34 39,masa tempat aku ga ada pengiriman nya yg cod atau reguler masa adanya yang kargo,"['masa', 'tempat', 'aku', 'ga', 'ada', 'pengiriman', 'nya', 'yg', 'cod', 'atau', 'reguler', 'masa', 'adanya', 'yang', 'kargo']",['kargo'],['kargo'],kargo,positive,0.982833981513977
5,2025 08 22 18 07 20,kurirnya maling uang cod semua di bawa kembalian juga nggak di kembalikan mohon untuk tindak lanjut cabang shopee xpres wates kab kediri atasnama resa,"['kurirnya', 'maling', 'uang', 'cod', 'semua', 'di', 'bawa', 'kembalian', 'juga', 'nggak', 'di', 'kembalikan', 'mohon', 'untuk', 'tindak', 'lanjut', 'cabang', 'shopee', 'xpres', 'wates', 'kab', 'kediri', 'atasnama', 'resa']","['kurirnya', 'bawa', 'kembalian', 'kembalikan', 'xpres', 'wates', 'kab', 'kediri', 'atasnama', 'resa']","['kurir', 'bawa', 'kembali', 'kembali', 'xpres', 'wates', 'kab', 'diri', 'atasnama', 'resa']",kurir bawa kembali kembali xpres wates kab diri atasnama resa,neutral,0.9990381002426147
1,2025 08 22 16 45 54,percuma gk bisa cod,"['percuma', 'gk', 'bisa', 'cod']",[],[],,ERROR,0.0
5,2025 08 22 15 33 46,sangat bagus dan dapat cod terus,"['sangat', 'bagus', 'dan', 'dapat', 'cod', 'terus']",[],[],,ERROR,0.0
5,2025 08 22 15 21 41,knp sakg mah ssh ga bisa cod ya kk,"['knp', 'sakg', 'mah', 'ssh', 'ga', 'bisa', 'cod', 'ya', 'kk']","['sakg', 'ssh']","['sakg', 'ssh']",sakg ssh,positive,0.883980393409729
5,2025 08 22 15 08 43,belanja di sini memang murah bgt walaupun aq cuma pake code tpi hasil nya sangat memuaskan,"['belanja', 'di', 'sini', 'memang', 'murah', 'bgt', 'walaupun', 'aq', 'cuma', 'pake', 'code', 'tpi', 'hasil', 'nya', 'sangat', 'memuaskan']","['belanja', 'memuaskan']","['belanja', 'muas']",belanja muas,positive,0.9549866914749146
2,2025 08 22 13 11 32,untuk admin shopi aku mau nanya ini kenapa akun shopee aku yang baru tidak bisa cod sedangkan aku aja belum pernah belan apapun di aku shopi aku yang baru jadi mohon untuk para admin shopee agar dapat membantu terimakasih sebelumnya,"['untuk', 'admin', 'shopi', 'aku', 'mau', 'nanya', 'ini', 'kenapa', 'akun', 'shopee', 'aku', 'yang', 'baru', 'tidak', 'bisa', 'cod', 'sedangkan', 'aku', 'aja', 'belum', 'pernah', 'belan', 'apapun', 'di', 'aku', 'shopi', 'aku', 'yang', 'baru', 'jadi', 'mohon', 'untuk', 'para', 'admin', 'shopee', 'agar', 'dapat', 'membantu', 'terimakasih', 'sebelumnya']","['belan', 'membantu']","['belan', 'bantu']",belan bantu,positive,0.6995375156402588
1,2025 08 22 11 10 34,tolong bantuannya saya tidak bisa memesan cod tidak ada solusi untuk masalah ini tolong ditindak lanjuti untuk agen shopee,"['tolong', 'bantuannya', 'saya', 'tidak', 'bisa', 'memesan', 'cod', 'tidak', 'ada', 'solusi', 'untuk', 'masalah', 'ini', 'tolong', 'ditindak', 'lanjuti', 'untuk', 'agen', 'shopee']","['bantuannya', 'memesan', 'ditindak', 'lanjuti', 'agen']","['bantu', 'mes', 'tindak', 'lanjut', 'agen']",bantu mes tindak lanjut agen,neutral,0.9966974258422852
3,2025 08 22 09 11 44,kebanyakan harus bayar dulu engak bisa cod males kaya gitu belanja ya,"['kebanyakan', 'harus', 'bayar', 'dulu', 'engak', 'bisa', 'cod', 'males', 'kaya', 'gitu', 'belanja', 'ya']","['kebanyakan', 'belanja']","['banyak', 'belanja']",banyak belanja,positive,0.9000478386878967
1,2025 08 22 06 45 46,malesss banget sama aplikasi shopee tukang kurir nya yang males nganterin paket tukang kurir nya yang nggak inisiatif nelfon jadinya paket saya nggak sampe dan akhirnya fitur cod saya jadi di ilangin benciiii bnget deh sama kurir sicepat halu kalo masih kek gini bakal pindah aplikasi sebelah aja,"['malesss', 'banget', 'sama', 'aplikasi', 'shopee', 'tukang', 'kurir', 'nya', 'yang', 'males', 'nganterin', 'paket', 'tukang', 'kurir', 'nya', 'yang', 'nggak', 'inisiatif', 'nelfon', 'jadinya', 'paket', 'saya', 'nggak', 'sampe', 'dan', 'akhirnya', 'fitur', 'cod', 'saya', 'jadi', 'di', 'ilangin', 'benciiii', 'bnget', 'deh', 'sama', 'kurir', 'sicepat', 'halu', 'kalo', 'masih', 'kek', 'gini', 'bakal', 'pindah', 'aplikasi', 'sebelah', 'aja']","['malesss', 'benciiii', 'halu', 'sebelah']","['malesss', 'benciiii', 'halu', 'belah']",malesss benciiii halu belah,negative,0.9995092153549194
5,2025 08 22 06 01 00,sangat membantu dan ga ragu apa lagi dengan sistim cod cek dulu itu sama saja beli dipasar dicoba dulu diliat cocok bru diambil sukses terus untuk shoopee,"['sangat', 'membantu', 'dan', 'ga', 'ragu', 'apa', 'lagi', 'dengan', 'sistim', 'cod', 'cek', 'dulu', 'itu', 'sama', 'saja', 'beli', 'dipasar', 'dicoba', 'dulu', 'diliat', 'cocok', 'bru', 'diambil', 'sukses', 'terus', 'untuk', 'shoopee']","['membantu', 'dipasar', 'dicoba', 'diliat', 'diambil']","['bantu', 'pasar', 'coba', 'liat', 'ambil']",bantu pasar coba liat ambil,neutral,0.9489002823829651
2,2025 08 21 23 38 13,sekarang toko ini tidak bisa cod lagi uinstal aja sdh nda bagus lagi,"['sekarang', 'toko', 'ini', 'tidak', 'bisa', 'cod', 'lagi', 'uinstal', 'aja', 'sdh', 'nda', 'bagus', 'lagi']",['uinstal'],['uinstal'],uinstal,negative,0.994752049446106
4,2025 08 21 22 12 06,aplikasinya sekarang udah ngk bisa lagi cod,"['aplikasinya', 'sekarang', 'udah', 'ngk', 'bisa', 'lagi', 'cod']",['aplikasinya'],['aplikasi'],aplikasi,positive,0.998157799243927
3,2025 08 21 22 05 35,sebenernya apknya cukup bagus cuman masih menemukan penjual yang tidak amanah apalagi saat menanyakan kesediaan stok yang jawab asisten ia minta pergantian pihak penjual yang merespon malah cuman di read tanpa jawaban penjual sedangkan pembatalan perlu konfirmasi penjual sistemnya pembelian gk semuanya bisa cod juga tolong berikan kemudah lagi untuk pembeli agar tidak merasakan kecewa dan di rugikan,"['sebenernya', 'apknya', 'cukup', 'bagus', 'cuman', 'masih', 'menemukan', 'penjual', 'yang', 'tidak', 'amanah', 'apalagi', 'saat', 'menanyakan', 'kesediaan', 'stok', 'yang', 'jawab', 'asisten', 'ia', 'minta', 'pergantian', 'pihak', 'penjual', 'yang', 'merespon', 'malah', 'cuman', 'di', 'read', 'tanpa', 'jawaban', 'penjual', 'sedangkan', 'pembatalan', 'perlu', 'konfirmasi', 'penjual', 'sistemnya', 'pembelian', 'gk', 'semuanya', 'bisa', 'cod', 'juga', 'tolong', 'berikan', 'kemudah', 'lagi', 'untuk', 'pembeli', 'agar', 'tidak', 'merasakan', 'kecewa', 'dan', 'di', 'rugikan']","['apknya', 'menemukan', 'kesediaan', 'asisten', 'pergantian', 'read', 'pembatalan', 'sistemnya', 'pembelian', 'kemudah', 'merasakan', 'rugikan']","['apknya', 'temu', 'sedia', 'asisten', 'ganti', 'read', 'batal', 'sistem', 'beli', 'mudah', 'rasa', 'rugi']",apknya temu sedia asisten ganti read batal sistem beli mudah rasa rugi,neutral,0.9785823822021484
5,2025 08 21 20 58 23,shopee memang sangat bagus aku suka sekali belanja di shopee sangat puas bisa cod bayar ditempat dan barang bisa dicek dulu bisa dikembalikan juga kalau tidak sesuai dengan pesanan,"['shopee', 'memang', 'sangat', 'bagus', 'aku', 'suka', 'sekali', 'belanja', 'di', 'shopee', 'sangat', 'puas', 'bisa', 'cod', 'bayar', 'ditempat', 'dan', 'barang', 'bisa', 'dicek', 'dulu', 'bisa', 'dikembalikan', 'juga', 'kalau', 'tidak', 'sesuai', 'dengan', 'pesanan']","['belanja', 'ditempat', 'dicek', 'dikembalikan']","['belanja', 'tempat', 'cek', 'kembali']",belanja tempat cek kembali,neutral,0.9952142238616943
5,2025 08 21 20 46 41,cukup puas karena bisa cod dan ga banyak yang nipu,"['cukup', 'puas', 'karena', 'bisa', 'cod', 'dan', 'ga', 'banyak', 'yang', 'nipu']",[],[],,ERROR,0.0
5,2025 08 21 20 20 43,belanja online di shopee sangat mudah terus banyak voucher nya lagi mantappp cuman yg bikin gk nyaman kalo kita retur barang cod malah gak bisa cod lagi padahal kan kita retur barang karena gak sesuai yg kita pesan aduh,"['belanja', 'online', 'di', 'shopee', 'sangat', 'mudah', 'terus', 'banyak', 'voucher', 'nya', 'lagi', 'mantappp', 'cuman', 'yg', 'bikin', 'gk', 'nyaman', 'kalo', 'kita', 'retur', 'barang', 'cod', 'malah', 'gak', 'bisa', 'cod', 'lagi', 'padahal', 'kan', 'kita', 'retur', 'barang', 'karena', 'gak', 'sesuai', 'yg', 'kita', 'pesan', 'aduh']","['belanja', 'mantappp', 'bikin', 'aduh']","['belanja', 'mantappp', 'bikin', 'aduh']",belanja mantappp bikin aduh,positive,0.9982524514198303
5,2025 08 21 20 15 28,aplikasi nya bagus dan mudah dipahami tapi lebih bagus lagi kalau bisa semua produk cod cod ditempat aku juga ragu kalau bayar dulu takut kena tipu,"['aplikasi', 'nya', 'bagus', 'dan', 'mudah', 'dipahami', 'tapi', 'lebih', 'bagus', 'lagi', 'kalau', 'bisa', 'semua', 'produk', 'cod', 'cod', 'ditempat', 'aku', 'juga', 'ragu', 'kalau', 'bayar', 'dulu', 'takut', 'kena', 'tipu']","['dipahami', 'ditempat']","['paham', 'tempat']",paham tempat,positive,0.9982044696807861
4,2025 08 21 19 41 40,sungguh sangat membantu tapi saya gk bisa cod lagi itu karna apa yaa ka apakah masih bisa di perbaiki,"['sungguh', 'sangat', 'membantu', 'tapi', 'saya', 'gk', 'bisa', 'cod', 'lagi', 'itu', 'karna', 'apa', 'yaa', 'ka', 'apakah', 'masih', 'bisa', 'di', 'perbaiki']",['membantu'],['bantu'],bantu,negative,0.8234578371047974
5,2025 08 21 18 52 34,bagus suka tpi punya aku gbisa cod gtau knpa,"['bagus', 'suka', 'tpi', 'punya', 'aku', 'gbisa', 'cod', 'gtau', 'knpa']",['gtau'],['gtau'],gtau,positive,0.8393738865852356
5,2025 08 21 18 41 46,kenapa y kk jadi g bisa cod,"['kenapa', 'y', 'kk', 'jadi', 'g', 'bisa', 'cod']",[],[],,ERROR,0.0
5,2025 08 21 18 07 43,so far so good cuma kendala ekspedisi aja barang gk sampe rumah dah dibalikin aja ketoko so jadinya gk bisa cod,"['so', 'far', 'so', 'good', 'cuma', 'kendala', 'ekspedisi', 'aja', 'barang', 'gk', 'sampe', 'rumah', 'dah', 'dibalikin', 'aja', 'ketoko', 'so', 'jadinya', 'gk', 'bisa', 'cod']",['ketoko'],['toko'],toko,positive,0.9910116195678711
5,2025 08 21 16 48 08,tolong perbaikan shopie saya atau perbarui lemot dn tidak bisa cod,"['tolong', 'perbaikan', 'shopie', 'saya', 'atau', 'perbarui', 'lemot', 'dn', 'tidak', 'bisa', 'cod']","['perbaikan', 'perbarui', 'lemot']","['baik', 'baru', 'lot']",baik baru lot,positive,0.8804033994674683
5,2025 08 21 13 23 17,suka belanja karena suka ada vocer cod,"['suka', 'belanja', 'karena', 'suka', 'ada', 'vocer', 'cod']",['belanja'],['belanja'],belanja,positive,0.9974477291107178
1,2025 08 21 11 21 17,mohon di oertingkatkan sudah ganti kartu masih tdk bisa cod bangke,"['mohon', 'di', 'oertingkatkan', 'sudah', 'ganti', 'kartu', 'masih', 'tdk', 'bisa', 'cod', 'bangke']","['oertingkatkan', 'bangke']","['oertingkatkan', 'bangke']",oertingkatkan bangke,neutral,0.42484185099601746
5,2025 08 21 08 51 08,terimakasih sudah diantar paket cod nya sampai di tempat,"['terimakasih', 'sudah', 'diantar', 'paket', 'cod', 'nya', 'sampai', 'di', 'tempat']",['diantar'],['antar'],antar,negative,0.7756679654121399
5,2025 08 21 07 56 59,tolong aplikasinya bisa biar cod dg,"['tolong', 'aplikasinya', 'bisa', 'biar', 'cod', 'dg']",['aplikasinya'],['aplikasi'],aplikasi,positive,0.998157799243927
5,2025 08 21 06 54 36,cod selalu gratis ongkir shopee ok,"['cod', 'selalu', 'gratis', 'ongkir', 'shopee', 'ok']",[],[],,ERROR,0.0
2,2025 08 21 06 22 31,entah mengapa sekarang kalo mesan gak bisa cod lagi sangat menyusah kan sama membuat ketidak nyamanan dalam berbelanja,"['entah', 'mengapa', 'sekarang', 'kalo', 'mesan', 'gak', 'bisa', 'cod', 'lagi', 'sangat', 'menyusah', 'kan', 'sama', 'membuat', 'ketidak', 'nyamanan', 'dalam', 'berbelanja']","['menyusah', 'ketidak', 'nyamanan', 'berbelanja']","['susah', 'tidak', 'nyaman', 'belanja']",susah tidak nyaman belanja,negative,0.9992152452468872
4,2025 08 21 05 43 36,apk nya bagus barangnya murah dapat diskon vocher tapi sayangnya akaun saya kadang bisa cod kadang tidak padahal semua barang mahal suda saya bayar,"['apk', 'nya', 'bagus', 'barangnya', 'murah', 'dapat', 'diskon', 'vocher', 'tapi', 'sayangnya', 'akaun', 'saya', 'kadang', 'bisa', 'cod', 'kadang', 'tidak', 'padahal', 'semua', 'barang', 'mahal', 'suda', 'saya', 'bayar']","['barangnya', 'sayangnya', 'akaun']","['barang', 'sayang', 'akaun']",barang sayang akaun,negative,0.9932984709739685
5,2025 08 21 03 27 28,sudah dia minggu saya ga bisa belanja cod ya,"['sudah', 'dia', 'minggu', 'saya', 'ga', 'bisa', 'belanja', 'cod', 'ya']",['belanja'],['belanja'],belanja,positive,0.9974477291107178
3,2025 08 20 23 45 45,kenapa ada barang yg gk bisa cod toko mendukung alamat juga kurir apalagi spx se indonesia kadang ada yg bisa kadang enggak akun juga gk ada masalah cache apalagi gk ada hubungannya malah kadang ada yg deket tapi gk bisa cod terus spx muter muter di banyuasin melulu,"['kenapa', 'ada', 'barang', 'yg', 'gk', 'bisa', 'cod', 'toko', 'mendukung', 'alamat', 'juga', 'kurir', 'apalagi', 'spx', 'se', 'indonesia', 'kadang', 'ada', 'yg', 'bisa', 'kadang', 'enggak', 'akun', 'juga', 'gk', 'ada', 'masalah', 'cache', 'apalagi', 'gk', 'ada', 'hubungannya', 'malah', 'kadang', 'ada', 'yg', 'deket', 'tapi', 'gk', 'bisa', 'cod', 'terus', 'spx', 'muter', 'muter', 'di', 'banyuasin', 'melulu']","['mendukung', 'hubungannya', 'banyuasin', 'melulu']","['dukung', 'hubung', 'banyuasin', 'melulu']",dukung hubung banyuasin melulu,positive,0.8983757495880127
5,2025 08 20 23 20 01,tolong kalau paket mental bukan disebabkan pembeli tapi kesalahan pihak ekspedisi jangan di bebankan ke akun pembeli yg berakibat tidak bisa cod,"['tolong', 'kalau', 'paket', 'mental', 'bukan', 'disebabkan', 'pembeli', 'tapi', 'kesalahan', 'pihak', 'ekspedisi', 'jangan', 'di', 'bebankan', 'ke', 'akun', 'pembeli', 'yg', 'berakibat', 'tidak', 'bisa', 'cod']","['mental', 'disebabkan', 'kesalahan', 'bebankan', 'berakibat']","['mental', 'sebab', 'salah', 'beban', 'akibat']",mental sebab salah beban akibat,negative,0.9984277486801147
5,2025 08 20 22 34 43,belanja di shopee menyenangkan apa lagi bisa cod,"['belanja', 'di', 'shopee', 'menyenangkan', 'apa', 'lagi', 'bisa', 'cod']","['belanja', 'menyenangkan']","['belanja', 'senang']",belanja senang,positive,0.9990536570549011
5,2025 08 20 21 41 05,berbelanja lebih mudah bs cod lg shopee mantaaap,"['berbelanja', 'lebih', 'mudah', 'bs', 'cod', 'lg', 'shopee', 'mantaaap']","['berbelanja', 'mantaaap']","['belanja', 'mantaaap']",belanja mantaaap,positive,0.9756767153739929
3,2025 08 20 20 50 00,ko ngk bisa cod tru pengiriman tiba tiba hilang kayak lirik lagu hilang,"['ko', 'ngk', 'bisa', 'cod', 'tru', 'pengiriman', 'tiba', 'tiba', 'hilang', 'kayak', 'lirik', 'lagu', 'hilang']",[],[],,ERROR,0.0
5,2025 08 20 19 05 57,shoppy ok udah kembali normal cod saya thanks,"['shoppy', 'ok', 'udah', 'kembali', 'normal', 'cod', 'saya', 'thanks']",[],[],,ERROR,0.0
3,2025 08 20 17 21 30,kok gabisaa di buat cod sihhhh jadi bingung mauu gimana kalau mau pesen,"['kok', 'gabisaa', 'di', 'buat', 'cod', 'sihhhh', 'jadi', 'bingung', 'mauu', 'gimana', 'kalau', 'mau', 'pesen']",['pesen'],['sen'],sen,negative,0.681776225566864
